Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Wade Likens,M,SBD,Single-ply,31,24-34,24-39,M-O,,125+,272.16,-288.03,-288.03,,272.16,263.08,-274.42,-274.42,,263.08,281.23,-306.17,-306.17,,281.23,816.47,1,,,,,Yes,USA,OH,USAPL,IPF,3/19/2005,USA,OH,Brunswick,Battle of the Great Lakes VIII
Wade Likens,M,SBD,Single-ply,,,,M-O,147,125+,-272.5,-272.5,-272.5,,,,,,,,,,,,,,DQ,,,,,Yes,USA,,USAPL,IPF,7/9/2000,USA,IL,Chicago,Men's National Powerlifting Championships
Wade Likens,M,SBD,Single-ply,34,24-34,24-39,M-O,157,125+,-305,-305,305,,305,272.5,290,-295,,290,-285,285,-300,,285,880,4,467.53,483.76,454.99,78.11,Yes,USA,OH,USAPL,IPF,12/1/2007,USA,PA,Scranton,American Open
Wade Likens,M,SBD,Single-ply,,,,M-O,,125+,281.23,303.91,-317.51,,303.91,265.35,285.76,-294.84,,285.76,272.16,288.03,,,288.03,877.7,1,,,,,Yes,USA,OH,USAPL,IPF,3/31/2007,USA,OH,,Battle of the Great Lakes X
Wade Likens,M,B,Single-ply,,,,M-O,,125+,,,,,,265.35,285.76,-294.84,,285.76,,,,,,285.76,1,,,,,Yes,USA,OH,USAPL,IPF,3/31/2007,USA,OH,,Battle of the Great Lakes X
Wade Likens,M,B,Raw,31,24-34,24-39,MR-O,,125+,,,,,,215.46,-226.8,-226.8,,215.46,,,,,,215.46,1,,,,,Yes,USA,OH,USAPL,IPF,6/4/2005,USA,OH,Brunswick,Pete Lanzi Memorial III
Wade Likens,M,B,Single-ply,,,,M-O,,125+,,,,,,,,,,260,,,,,,260,3,,,,,Yes,USA,,USAPL,IPF,8/24/2002,USA,OH,Bedford Heights,Bench Press Nationals
Wade Likens,M,SBD,Single-ply,,,,M-O,149.2,125+,272.5,285,-300,,285,230,247.5,255,,255,282.5,295,302.5,,302.5,842.5,10,453.71,466.5,441.26,75.8,Yes,USA,OH,USAPL,IPF,7/13/2002,USA,IL,Chicago,Men's National Powerlifting Championships
Wade Likens,M,B,Single-ply,37,35-39,24-39,M-O,157.1,125+,,,,,,-332.5,-332.5,-332.5,,,,,,,,,DQ,,,,,Yes,USA,OH,USAPL,IPF,8/28/2010,USA,VA,Charlottesville,Bench Press Nationals
Wade Likens,M,B,Single-ply,37,35-39,24-39,M-LT,157.1,125+,,,,,,-332.5,-332.5,-332.5,,,,,,,,,DQ,,,,,Yes,USA,OH,USAPL,IPF,8/28/2010,USA,VA,Charlottesville,Bench Press Nationals
Wade Likens,M,B,Single-ply,,,,M-O,,125+,,,,,,,,,,244.94,,,,,,244.94,1,,,,,Yes,USA,,USAPL,IPF,7/6/2003,USA,OH,Cleveland,Pete Lanzi Memorial BP & DL
Wade Likens,M,SBD,Raw,,,,MR-O,156.3,125+,242.5,255,-265,,255,227.5,242.5,-250,,242.5,92.5,245,265,,265,762.5,3,405.58,419.43,394.7,79.7,Yes,USA,,USAPL,IPF,3/6/2009,USA,OH,Columbus,CON-CRET Raw Challenge
Wade Likens,M,B,Single-ply,,,,M-O,,125+,,,,,,,,,,244.94,,,,,,244.94,1,,,,,Yes,USA,,USAPL,IPF,6/4/2004,USA,OH,Cleveland,Pete Lanzi Memorial II
Wade Likens,M,D,Single-ply,,,,M-O,,125+,,,,,,,,,,,,,,,281.23,281.23,1,,,,,Yes,USA,,USAPL,IPF,6/4/2004,USA,OH,Cleveland,Pete Lanzi Memorial II
Wade Likens,M,B,Single-ply,,,,M-O,,125+,,,,,,,,,,212.5,,,,,,212.5,6,,,,,Yes,USA,,USAPL,IPF,9/26/1998,USA,OH,Cleveland,National Bench Press Championships
Wade Likens,M,SBD,Single-ply,,,,M-O,125,125,,,,,283.5,,,,,244.94,,,,,303.91,832.34,1,471.73,474.3,453.9,79.22,Yes,USA,,USAPL,IPF,11/16/2003,USA,OH,Bedford Heights,State PL & BP Championships
Wade Likens,M,B,Single-ply,,,,M-O,,125+,,,,,,,,,,244.94,,,,,,244.94,1,,,,,Yes,USA,,USAPL,IPF,11/16/2003,USA,OH,Bedford Heights,State PL & BP Championships
Wade Likens,M,B,Single-ply,36,35-39,24-39,M-O,158,125+,,,,,,-320,-320,-320,,,,,,,,,DQ,,,,,Yes,USA,OH,USAPL,IPF,9/12/2009,USA,OH,Cleveland,Bench Nationals
Haley Newman,F,SBD,Single-ply,18.5,18-19,19-23,F-T3,70.15,72,-120,-120,120,,120,62.5,67.5,70,,70,107.5,-112.5,115,,115,305,1,308.06,302.98,267.06,51.99,Yes,USA,TX,USAPL,IPF,3/18/2018,USA,TX,,Heart of Texas Open
Haley Newman,F,SBD,Single-ply,16.5,16-17,14-18,Girls,54.43,56,,,,,99.79,,,,,47.63,,,,,97.52,244.94,5,289.36,294.69,260.84,48.37,Yes,USA,,THSWPA,,2/6/2016,USA,TX,Reicher Catholic,Reicher Girls Powerlifting Meet
Haley Newman,F,SBD,Single-ply,17.5,18-19,14-18,Girls,58.97,60.1,,,,,115.67,,,,,58.97,,,,,95.25,269.89,10,302.49,304.97,269.52,50.65,Yes,USA,,THSWPA,,2/18/2017,USA,TX,West,West HS Invitational
Haley Newman,F,SBD,Single-ply,18.5,18-19,19-23,Girls,69.13,75,,,,,129.27,,,,,70.31,,,,,115.67,315.25,4,321.05,316.36,278.94,54.14,Yes,USA,,THSWPA,,2/17/2018,USA,TX,West,West Invitational
Haley Newman,F,SBD,Single-ply,18.5,18-19,19-23,Girls,68.22,75,,,,,115.67,,,,,58.97,,,,,102.06,276.69,4,283.92,280.27,247.19,47.84,Yes,USA,,THSWPA,,1/13/2018,USA,TX,Academy,Academy Invitational Powerlifting
Haley Newman,F,SBD,Single-ply,18.5,18-19,19-23,Girls,69.13,75,,,,,127.01,,,,,56.7,,,,,120.2,303.91,2,309.5,304.98,268.91,52.19,Yes,USA,,THSWPA,,2/10/2018,USA,TX,Reicher Catholic,Reicher CHS Powerlifting Meet
Haley Newman,F,SBD,Single-ply,17.5,18-19,14-18,Girls,58.88,60.1,,,,,115.67,,,,,56.7,,,,,95.25,267.62,7,300.24,302.77,267.58,50.28,Yes,USA,,THSWPA,,1/21/2017,USA,TX,Moody,10th Annual Moody Invitational
Haley Newman,F,SBD,Single-ply,16.5,16-17,14-18,Girls,54.79,56,,,,,104.33,,,,,47.63,,,,,99.79,251.74,7,296.08,301.31,266.65,49.5,Yes,USA,,THSWPA,,3/3/2016,USA,TX,Academy,Region 2 Division 2
Haley Newman,F,SBD,Single-ply,17.5,18-19,14-18,Girls,59.96,60.1,,,,,113.4,,,,,56.7,,,,,99.79,269.89,11,299.31,301.05,266,50.15,Yes,USA,,THSWPA,,3/2/2017,USA,TX,Academy,Region 2 Division 2 Regional Powerlifting Meet
Haley Newman,F,SBD,Single-ply,18.5,18-19,19-23,Girls,67.86,75,,,,,117.93,,,,,65.77,,,,,113.4,297.1,5,305.79,302.08,266.45,51.51,Yes,USA,,THSWPA,,1/20/2018,USA,TX,Moody,11th Annual Moody Invitational
Haley Newman,F,SBD,Single-ply,16.5,16-17,14-18,Girls,54.61,56,,,,,97.52,,,,,47.63,,,,,92.99,238.14,8,280.7,285.77,252.92,46.92,Yes,USA,,THSWPA,,1/21/2016,USA,TX,Moody Gym,Moody Girls Powerlifting Invitational
Haley Newman,F,SBD,Single-ply,18.5,18-19,19-23,Girls,70.4,75,,,,,120.2,,,,,72.57,,,,,120.2,312.98,10,315.5,310.15,273.36,53.26,Yes,USA,,THSWPA,,3/3/2018,USA,TX,Temple,Region 2 Division 2
Haley Newman,F,SBD,Single-ply,17.5,18-19,14-18,Girls,58.79,60.1,,,,,102.06,,,,,54.43,,,,,92.99,249.48,7,280.16,282.58,249.74,46.91,Yes,USA,,THSWPA,,1/14/2017,USA,TX,Bosqueville,BOSQUEVILLE INVITATIONAL
Haley Newman,F,SBD,Single-ply,16.5,16-17,14-18,Girls,55.79,56,,,,,92.99,,,,,47.63,,,,,88.45,229.06,5,266.17,270.31,239.12,44.51,Yes,USA,,THSWPA,,1/16/2016,USA,TX,Bosqueville,BOSQUEVILLE INVITATIONAL
Haley Newman,F,SBD,Single-ply,17.5,18-19,14-18,Girls,59.42,60.1,,,,,115.67,,,,,58.97,,,,,95.25,269.89,3,301.03,303.17,267.9,50.42,Yes,USA,,THSWPA,,2/11/2017,USA,TX,Reicher Catholic,Reicher Catholic Girls Powerlifting Meet
Haley Newman,F,SBD,Single-ply,16.5,16-17,14-18,Girls,54.61,56,,,,,106.59,,,,,47.63,,,,,97.52,251.74,7,296.74,302.09,267.36,49.6,Yes,USA,,THSWPA,,2/16/2016,USA,TX,Whitney,West HS Invitational
Liam Goldie,M,SBD,Wraps,25,24-34,24-39,O,123,125,235,245,250,,250,130,-135,-135,,130,250,260,-262.5,,260,640,4,364.6,365.93,350.53,73.61,,Scotland,,GPC,GPC,6/29/2022,Czechia,,Trutnov,European Championships
Liam Goldie,M,SBD,Wraps,25,24-34,24-39,O,125,125,-240,240,-255,,240,125,130,-137.5,,130,260,267.5,-272.5,,267.5,637.5,5,361.31,363.28,347.65,72.81,,Scotland,,GPC,GPC,10/17/2022,Slovakia,,Trnava,World Championships
Liam Goldie,M,SBD,Wraps,26,24-34,24-39,O,124.65,125,255,265,270,,270,140,150,157.5,,157.5,,,,,285,712.5,2,404.17,406.25,388.86,81.48,,Scotland,,GPC,GPC,6/5/2023,Scotland,,Glasgow,European Championships
Liam Goldie,M,D,Raw,25,24-34,24-39,M-O,130.45,140,,,,,,,,,,,255,265,-272.5,,265,265,2,148.23,149.79,143.06,,,Scotland,,GPC-Scotland,GPC,8/21/2022,Scotland,,Clydebank,Kidney Kids Deadlift Challenge
Liam Goldie,M,SBD,Wraps,25,24-34,24-39,M-O,124.1,125,245,257.5,265,,265,130,140,147.5,,147.5,260,272.5,280,,280,692.5,5,393.38,395.2,378.41,79.34,,Scotland,,GPC-Scotland,GPC,4/15/2023,Scotland,,Glasgow,Scottish Championships
Liam Goldie,M,D,Raw,24,24-34,24-39,M-O,123,125,,,,,,,,,,,225,240,-250,,240,240,4,136.72,137.22,131.45,,,Scotland,,GPC-GB,GPC,8/1/2021,Scotland,,Clydebank,Scottish Deadlift Championships
Liam Goldie,M,SBD,Wraps,24,24-34,24-39,M-O,124,125,230,240,-245,,240,120,130,-132.5,,130,240,250,-257.5,,250,620,9,352.29,353.89,338.86,71.06,,Scotland,,GPC-GB,GPC,4/16/2022,Scotland,,,Scottish Championships
Dakota Moss,M,B,Raw,,24-34,24-39,int,88.68,90,,,,,,,,,,,,,,,,,DQ,,,,,Yes,USA,MS,NASA,,5/16/2015,USA,TN,,Tennessee State
Hannu Kontio,M,SBD,Wraps,45,45-49,40-49,M45-49,96.5,100,-210,220,230,,230,130,140,-150,,140,240,250,-260,,250,620,1,387.71,382.98,366.09,79.67,,,,FPO,IPA,5/13/2023,Finland,,Ylöjärvi,MKO Powertraining Voimanoston SM
Hannu Kontio,M,B,Raw,44,40-44,40-49,M40-44,93.5,100,,,,,,130,140,-150,,140,,,,,,140,2,88.85,87.72,83.94,66.25,,,,FPO,IPA,9/25/2021,Finland,,Paimio,Paimio Power Weekend 7
Hannu Kontio,M,D,Raw,44,40-44,40-49,M40-44,93.5,100,,,,,,,,,,,200,230,-240,,230,230,1,145.96,144.12,137.91,,,,,FPO,IPA,9/25/2021,Finland,,Paimio,Paimio Power Weekend 7
Ava Taylor,F,SBD,Single-ply,14.5,13-15,14-18,F-T1,81.52,84,-122.5,-125,125,,125,-52.5,55,-60,,55,122.5,125,130,,130,310,1,289.4,280.76,245.94,49.35,Yes,USA,TX,USAPL,IPF,11/7/2020,USA,TX,,Brawl in the Falls
Ava Taylor,F,B,Raw,14.5,13-15,14-18,FR-T1,82.3,84,,,,,,47.5,-55,-55,,47.5,,,,,,47.5,1,44.14,42.8,37.47,35.62,Yes,USA,TX,USAPL,IPF,12/12/2020,USA,TX,,Collegiate Cup and Texas Open
Ava Taylor,F,D,Raw,14.5,13-15,14-18,FR-T1,82.3,84,,,,,,,,,,,110,117.5,127.5,,127.5,127.5,1,118.48,114.89,100.58,,Yes,USA,TX,USAPL,IPF,12/12/2020,USA,TX,,Collegiate Cup and Texas Open
Ava Taylor,F,SBD,Raw,14.5,13-15,14-18,FR-T1,82.3,84,-122.5,-130,132.5,,132.5,47.5,-55,-55,,47.5,110,117.5,127.5,,127.5,307.5,1,285.74,277.09,242.59,58.55,Yes,USA,TX,USAPL,IPF,12/12/2020,USA,TX,,Collegiate Cup and Texas Open
Ava Taylor,F,BD,Raw,14.5,13-15,14-18,FR-T1,82.3,84,,,,,,47.5,-55,-55,,47.5,110,117.5,127.5,,127.5,175,1,162.61,157.69,138.06,,Yes,USA,TX,USAPL,IPF,12/12/2020,USA,TX,,Collegiate Cup and Texas Open
